id_2017,id_2018,method,unique_id,random_state,title_2017,title_2018
Hk1l9Xqxe,ByW5yxgA-,KNN,ac425b5c-3943-4372-93f3-ca9b2b8c387e,128,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,Multiscale Hidden Markov Models For Covariance Prediction
Hk1l9Xqxe,ry80wMW0W,naive,a1319504-6d0c-423f-886b-f0b23763544a,60,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,Hierarchical Subtask Discovery with Non-Negative Matrix Factorization
ryZqPN5xe,ryRh0bb0Z,SPSM,0ee1f74e-1b60-4dab-afab-b61c7ac21177,160,Beyond Fine Tuning: A Modular Approach to Learning on Small Data,Multi-View Data Generation Without View Supervision
ryZqPN5xe,H1A5ztj3b,KNN,ee1e5652-2f96-4c8f-a3e4-75bafd684841,100,Beyond Fine Tuning: A Modular Approach to Learning on Small Data,Super-Convergence: Very Fast Training of Residual Networks Using Large Learning Rates
ryZqPN5xe,SJ-C6JbRW,naive,33648274-a908-4717-b8f2-3a4b718d7ef0,60,Beyond Fine Tuning: A Modular Approach to Learning on Small Data,Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent
SyxeqhP9ll,rkw-jlb0W,KNN,22f8c369-12c8-4c0e-abc7-e513ace88523,151,Calibrating Energy-based Generative Adversarial Networks,Deep Lipschitz networks and Dudley GANs
SyxeqhP9ll,rk1FQA0pW,naive,ddd15f15-7809-42ce-a7e5-073694b75f44,60,Calibrating Energy-based Generative Adversarial Networks,End-to-End Abnormality Detection in Medical Imaging
SyxeqhP9ll,ryjw_eAaZ,SPSM,1799fcbd-646a-4cf5-bd9f-56fb6805e903,160,Calibrating Energy-based Generative Adversarial Networks,Unsupervised Deep Structure Learning by Recursive Dependency Analysis
SJttqw5ge,S14EogZAZ,KNN,f4318390-db64-4fa2-810b-7a1c48c50df3,153,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,Acquiring Target Stacking Skills by Goal-Parameterized Deep Reinforcement Learning
SJttqw5ge,BkVsWbbAW,SPSM,c1c6cc5c-e7d5-4512-9c25-e088818014b4,160,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,Deep Generative Dual Memory Network for Continual Learning
SJttqw5ge,rJNpifWAb,naive,4f78789c-a586-4913-949c-f56f4b7d0313,60,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches
BkIqod5ll,H1Xw62kRZ,SPSM,a859ac48-9664-427a-a659-6a48d52b1451,160,Convolutional Neural Networks Generalization Utilizing the Data Graph Structure,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis
BkIqod5ll,r1DPFCyA-,naive,f9f6bef1-3e0e-49a8-a307-6f109d9bed72,60,Convolutional Neural Networks Generalization Utilizing the Data Graph Structure,Discriminative k-shot learning using probabilistic models
BkIqod5ll,S1TgE7WR-,KNN,f4ca3e8f-c0aa-4eba-8400-9d372be44e62,134,Convolutional Neural Networks Generalization Utilizing the Data Graph Structure,Covariant Compositional Networks For Learning Graphs
H1VyHY9gg,HkwZSG-CZ,KNN,7e142094-6d87-45f9-85f7-0022b68237ce,65,Data Noising as Smoothing in Neural Network Language Models,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model
H1VyHY9gg,SkA-IE06W,SPSM,4524b026-4554-4728-9ac1-d49308a44ac8,160,Data Noising as Smoothing in Neural Network Language Models,When is a Convolutional Filter Easy to Learn?
H1VyHY9gg,rk4Fz2e0b,naive,6c08417e-2b92-47ba-b58b-401455767a4e,60,Data Noising as Smoothing in Neural Network Language Models,Graph Partition Neural Networks for Semi-Supervised Classification
HJ9rLLcxg,BJInEZsTb,naive,a3114756-998f-4104-a38b-2edd28e8f716,60,Dataset Augmentation in Feature Space,Learning Representations and Generative Models for 3D Point Clouds
HJ9rLLcxg,rJL6pz-CZ,KNN,dafda282-8d50-4a39-98bb-ed873773a31c,67,Dataset Augmentation in Feature Space,Transfer Learning on Manifolds via Learned Transport Operators
HJ9rLLcxg,rkaT3zWCZ,SPSM,00923ad9-2b8b-47aa-8b03-101fbf752b0f,160,Dataset Augmentation in Feature Space,Building Generalizable Agents with a Realistic and Rich 3D Environment
rkEFLFqee,rk8wKk-R-,KNN,007d52d8-f980-42a5-8843-5cf8174e83e5,68,Decomposing Motion and Content for Natural Video Sequence Prediction,Convolutional Sequence Modeling Revisited
rkEFLFqee,S14EogZAZ,naive,c15c9d94-ae97-466f-a333-ad032129b9cd,60,Decomposing Motion and Content for Natural Video Sequence Prediction,Acquiring Target Stacking Skills by Goal-Parameterized Deep Reinforcement Learning
rkEFLFqee,BJluxbWC-,SPSM,e8d882c0-24da-4aa5-97f5-cc9d7542c14a,160,Decomposing Motion and Content for Natural Video Sequence Prediction,Unseen Class Discovery in Open-world Classification
HycUbvcge,rJWechg0Z,KNN,e54c3caa-b9c4-491d-9aef-66a0fbfc52cc,110,Deep Generalized Canonical Correlation Analysis,Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation
HycUbvcge,SkYXvCR6W,naive,95750e17-e869-4601-b318-945db3a875a9,60,Deep Generalized Canonical Correlation Analysis,Compact Encoding of Words for Efficient Character-level Convolutional Neural Networks Text Classification
HycUbvcge,HJZiRkZC-,SPSM,6763c6c0-d977-4f8a-b58e-31e3ee2a3f71,160,Deep Generalized Canonical Correlation Analysis,Byte-Level Recursive Convolutional Auto-Encoder for Text
HyxQzBceg,HJ94fqApW,naive,075fdb48-21a3-4071-ae4f-9cd12745dbc9,60,Deep Variational Information Bottleneck,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers
HyxQzBceg,rkfbLilAb,SPSM,9d3d362b-25bf-4992-97c1-6753d4013f56,160,Deep Variational Information Bottleneck,Improving Search Through A3C Reinforcement Learning Based Conversational Agent
HyxQzBceg,HkL7n1-0b,KNN,feccbda0-7fdf-4d9a-925c-a50c0cf892ce,157,Deep Variational Information Bottleneck,Wasserstein Auto-Encoders
SJJN38cge,H1bM1fZCW,KNN,d4d5e57c-7515-41c2-b8b0-4da02b9d28e4,111,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment,GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks
SJJN38cge,rJ6iJmWCW,SPSM,a78e24d9-c783-45c8-8cfb-e9c511179e01,160,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment,POLICY DRIVEN GENERATIVE ADVERSARIAL NETWORKS FOR ACCENTED SPEECH GENERATION
SJJN38cge,HyrCWeWCb,naive,11d3781c-352e-439d-8291-219111e91806,60,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment,Trust-PCL: An Off-Policy Trust Region Method for Continuous Control
r10FA8Kxg,rytNfI1AZ,naive,a26f2884-5e19-44f4-8cd2-fc83b513ef5e,60,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,Training wide residual networks for deployment using a single bit for each weight
r10FA8Kxg,HJMN-xWC-,SPSM,b105b6b8-7056-4c78-9bfb-5e5ce7d9f2a7,160,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,Learning Parsimonious Deep Feed-forward Networks
r10FA8Kxg,ryj0790hb,KNN,523953e2-e799-46b8-a0da-75654c4184c0,147,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,Incremental Learning through Deep Adaptation
rkGabzZgl,rkHVZWZAZ,SPSM,b058b15b-3ffb-4ab9-a83c-107de0f0f304,160,Dropout with Expectation-linear Regularization,The Reactor: A fast and sample-efficient Actor-Critic agent for  Reinforcement Learning
rkGabzZgl,S1NHaMW0b,KNN,ddffbc4f-be38-426e-8cda-ebc83144db3b,120,Dropout with Expectation-linear Regularization,ShakeDrop regularization
rkGabzZgl,H1bM1fZCW,naive,3819abfb-90af-4175-8831-a580a1bfd5eb,60,Dropout with Expectation-linear Regularization,GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks
SyWvgP5el,HktJec1RZ,naive,6f51c2e8-5fe9-46d6-a1a0-b0a9bba690f0,60,EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,Towards Neural Phrase-based Machine Translation
SyWvgP5el,HkpRBFxRb,KNN,043fa034-3d16-442e-a6b2-65f9bf6644a5,101,EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,Learning to Mix n-Step Returns: Generalizing Lambda-Returns for Deep Reinforcement Learning
SyWvgP5el,SyZI0GWCZ,SPSM,81faecbe-e0c7-4e37-a2e3-c8f263d9d3b1,160,EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models
HkzuKpLgg,rJ4uaX2aW,KNN,61620e0a-957e-44f5-8449-66113f760bb8,80,Efficient Communications in Training Large Scale Neural Networks,Large Batch Training of Convolutional Networks with Layer-wise Adaptive Rate Scaling
HkzuKpLgg,rydeCEhs-,naive,d166679f-dd5e-4ff7-9f8c-4b844ee50458,60,Efficient Communications in Training Large Scale Neural Networks,SMASH: One-Shot Model Architecture Search through HyperNetworks
HkzuKpLgg,rypT3fb0b,SPSM,e145e928-ad9b-4c13-9593-25e43ae395dd,160,Efficient Communications in Training Large Scale Neural Networks,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING
rJxdQ3jeg,SJaP_-xAb,SPSM,9894580e-a887-4d91-af28-54e7f4d74cda,160,End-to-end Optimized Image Compression,Deep Learning with Logged Bandit Feedback
rJxdQ3jeg,S1fHmlbCW,KNN,58b9c106-de90-41de-9b16-728f2e98e0ac,71,End-to-end Optimized Image Compression,Neural Networks for irregularly observed continuous-time Stochastic Processes
rJxdQ3jeg,H1Y8hhg0b,naive,59d18750-fd85-4626-b361-8aa99954e796,60,End-to-end Optimized Image Compression,Learning Sparse Neural Networks through L_0 Regularization
r1LXit5ee,HkCnm-bAb,KNN,c2f80194-5548-44d9-98b6-0a8cf2b03bd4,85,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,Can Deep Reinforcement Learning solve Erdos-Selfridge-Spencer Games?
r1LXit5ee,By5SY2gA-,naive,c64250b7-8b59-4b8d-9a79-52f3b7703c5a,60,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,Towards Building Affect sensitive Word Distributions
r1LXit5ee,HkeJVllRW,SPSM,274c7816-de98-49ad-bac8-8451c110c616,160,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,Sparse-Complementary Convolution for Efficient Model Utilization on CNNs
ByToKu9ll,BydLzGb0Z,naive,c20837f2-bd2f-4cbe-8f07-35067f8ddb56,60,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models,Twin Networks: Matching the Future for Sequence Generation
ByToKu9ll,Sy4c-3xRW,SPSM,bfcd8ff9-2cc4-4fda-aac2-4c2d0d25c5ab,160,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models,DropMax: Adaptive Stochastic Softmax
ByToKu9ll,rJzIBfZAb,KNN,749e52bc-197a-4f08-ba03-a1f446597c87,158,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models,Towards Deep Learning Models Resistant to Adversarial Attacks
SkCILwqex,Sy5OAyZC-,naive,f58f3323-008b-481d-b1b3-f9223549a5d4,60,Exploring LOTS in Deep Neural Networks,On the Use of Word Embeddings Alone to Represent Natural Language Sequences
SkCILwqex,HknbyQbC-,KNN,e6c91cad-be81-470f-b7df-93eb25881abc,107,Exploring LOTS in Deep Neural Networks,Generating Adversarial Examples with Adversarial Networks
SkCILwqex,BJjBnN9a-,SPSM,fc2b8231-2b33-41f3-8641-9eaf30828072,160,Exploring LOTS in Deep Neural Networks,Continuous Convolutional Neural Networks for Image Classification
Byx5BTilg,rJBiunlAW,naive,018b04a8-326c-40aa-b1df-dce589a83b26,60,Exploring the Application of Deep Learning for Supervised Learning Problems,Training RNNs as Fast as CNNs
Byx5BTilg,ByeqORgAW,SPSM,c3741972-acc7-4625-9962-48889147bb5a,160,Exploring the Application of Deep Learning for Supervised Learning Problems,Proximal Backpropagation
Byx5BTilg,rkTBjG-AZ,KNN,3457c73e-7524-4516-a79d-74aaeb179013,143,Exploring the Application of Deep Learning for Supervised Learning Problems,DeepArchitect: Automatically Designing and Training Deep Architectures
r1osyr_xg,HyHmGyZCZ,KNN,20a6ee5a-aef2-4ffa-abeb-a9980ef70eb5,124,Fuzzy paraphrases in learning word representations with a lexicon,Comparison of Paragram and GloVe Results for Similarity Benchmarks
r1osyr_xg,H1cWzoxA-,naive,2f012df4-7196-41c0-a345-979874986843,60,Fuzzy paraphrases in learning word representations with a lexicon,Bi-Directional Block Self-Attention for Fast and Memory-Efficient Sequence Modeling
r1osyr_xg,rJWechg0Z,SPSM,2fe18e81-d817-4833-8381-06922b6f5417,160,Fuzzy paraphrases in learning word representations with a lexicon,Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation
ry7O1ssex,rkmu5b0a-,KNN,bd472ba2-9c94-441e-834b-a64398cee4d1,138,Generative Adversarial Networks as Variational Training of Energy Based Models,MGAN: Training Generative Adversarial Nets with Multiple Generators
ry7O1ssex,Hk6kPgZA-,SPSM,fdbbe07c-1930-4d2a-8d39-fe65e68a7822,160,Generative Adversarial Networks as Variational Training of Energy Based Models,Certifying Some Distributional Robustness with Principled Adversarial Training
ry7O1ssex,ryzm6BATZ,naive,62005544-f57a-4ddb-9b06-b393af2b9f89,60,Generative Adversarial Networks as Variational Training of Energy Based Models,Image Quality Assessment Techniques Improve Training and Evaluation of Energy-Based Generative Adversarial Networks
HJWHIKqgl,Hkc-TeZ0W,SPSM,d664c1d8-5dfa-4640-bb6b-eb60f68f1b7e,160,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,A Hierarchical Model for Device Placement
HJWHIKqgl,Hk8XMWgRb,naive,08cf3977-40ee-4ade-afbc-7a617906a368,60,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,Not-So-Random Features
HJWHIKqgl,SJQHjzZ0-,KNN,b81addb6-e211-481b-98b2-3f79614edd10,97,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,Quantitatively Evaluating GANs With Divergences Proposed for Training
rJzaDdYxx,BkrsAzWAb,SPSM,54182d7c-41b3-498d-96e0-312532e8691f,160,Gradients of Counterfactuals,Online Learning Rate Adaptation with Hypergradient Descent
rJzaDdYxx,HyzbhfWRW,KNN,94866de5-3ed9-4f68-af6b-5068006c94a2,148,Gradients of Counterfactuals,Learn to Pay Attention
rJzaDdYxx,H1meywxRW,naive,37706265-fa71-400c-98fa-0120cf561514,60,Gradients of Counterfactuals,DCN+: Mixed Objective And Deep Residual Coattention for Question Answering
r1rhWnZkg,SJ3dBGZ0Z,naive,3cc17d20-7cb4-4db8-bf6f-29cc17815158,60,Hadamard Product for Low-rank Bilinear Pooling,LSH Softmax: Sub-Linear Learning and Inference of the Softmax Layer in Deep Architectures
r1rhWnZkg,S16FPMgRZ,KNN,76e3b709-82fe-44a8-9f56-90ae501d81fd,152,Hadamard Product for Low-rank Bilinear Pooling,Tensor Contraction & Regression Networks
r1rhWnZkg,S19dR9x0b,SPSM,f814d442-70bc-4a90-908f-b1da80dd0ee0,160,Hadamard Product for Low-rank Bilinear Pooling,Alternating Multi-bit Quantization for Recurrent Neural Networks
B1KBHtcel,rJ7RBNe0-,SPSM,4e7afdb2-a560-4002-a510-09d79f678bd8,160,Here's My Point: Argumentation Mining with Pointer Networks,Generative Models for Alignment and Data Efficiency in Language
B1KBHtcel,Byt3oJ-0W,naive,257162dd-38a2-4654-8c9b-6a3477e66564,60,Here's My Point: Argumentation Mining with Pointer Networks,Learning Latent Permutations with Gumbel-Sinkhorn Networks
B1KBHtcel,rJXMpikCZ,KNN,bf040def-4764-4fdb-8f0d-38f30ef35b6b,132,Here's My Point: Argumentation Mining with Pointer Networks,Graph Attention Networks
HJeqWztlg,ryBnUWb0b,naive,468768ee-df6a-4b58-97ba-46db4528033f,60,Hierarchical compositional feature learning,Predicting Floor-Level for 911 Calls with Neural Networks and Smartphone Sensor Data
HJeqWztlg,SyYYPdg0-,KNN,313a2787-de29-4733-a0ad-69d252bbc9af,64,Hierarchical compositional feature learning,Counterfactual Image Networks
HJeqWztlg,Hk5elxbRW,SPSM,54c6655e-5ddc-4910-a93d-d5b023b74f95,160,Hierarchical compositional feature learning,Smooth Loss Functions for Deep Top-k Classification
Bk67W4Yxl,r1Zi2Mb0-,naive,5a67aaa9-e6c6-4fa6-8c1e-f919df3369a9,60,Improved Architectures for Computer Go,EXPLORING NEURAL ARCHITECTURE SEARCH FOR LANGUAGE TASKS
Bk67W4Yxl,HkCnm-bAb,KNN,3336bf42-270b-4e96-b2c8-06d8b4e94389,86,Improved Architectures for Computer Go,Can Deep Reinforcement Learning solve Erdos-Selfridge-Spencer Games?
Bk67W4Yxl,ry_WPG-A-,SPSM,bd1e6d92-e8ac-436f-8edd-f8d7a115d828,160,Improved Architectures for Computer Go,On the Information Bottleneck Theory of Deep Learning
Syfkm6cgx,HkCsm6lRb,SPSM,8c5226a5-1560-41af-b54d-f54aac3acc3c,160,Improving Invariance and Equivariance Properties of Convolutional Neural Networks,Generative Models of Visually Grounded Imagination
Syfkm6cgx,HktK4BeCZ,naive,dfd7df4a-2636-4b1f-a9c3-b8ddff484158,60,Improving Invariance and Equivariance Properties of Convolutional Neural Networks,Learning Deep Mean Field Games for Modeling Large Population Behavior
Syfkm6cgx,rkmoiMbCb,KNN,f17a1843-e205-4322-9069-8f9a223634c8,72,Improving Invariance and Equivariance Properties of Convolutional Neural Networks,Tandem Blocks in Deep Convolutional Neural Networks
ryXZmzNeg,HJ5AUm-CZ,KNN,a52a7fc5-e2fb-4976-a8cb-00080e11da85,99,Improving Sampling from Generative Autoencoders with Markov Chains,The Variational Homoencoder: Learning to Infer High-Capacity Generative Models from Few Examples
ryXZmzNeg,SyuWNMZ0W,SPSM,6cba4743-24b5-49d7-beb0-cd841beb4f67,160,Improving Sampling from Generative Autoencoders with Markov Chains,Directing Generative Networks with Weighted Maximum Mean Discrepancy
ryXZmzNeg,HkGJUXb0-,naive,c336a7c9-e3e4-49b9-a5fa-c5720e24186d,60,Improving Sampling from Generative Autoencoders with Markov Chains,Learning Efficient Tensor Representations with Ring Structure Networks
BkVsEMYel,HyUNwulC-,SPSM,2dacdaa4-109d-420b-ba41-89b0abaffa04,160,Inductive Bias of Deep Convolutional Networks through Pooling Geometry,Parallelizing Linear Recurrent Neural Nets Over Sequence Length
BkVsEMYel,S1XolQbRW,naive,8be07123-bd08-4935-a23f-b3d6d763b725,60,Inductive Bias of Deep Convolutional Networks through Pooling Geometry,Model compression via distillation and quantization
BkVsEMYel,rkmoiMbCb,KNN,26e8dad6-9f2b-4887-8e62-1dba49c4f628,115,Inductive Bias of Deep Convolutional Networks through Pooling Geometry,Tandem Blocks in Deep Convolutional Neural Networks
H13F3Pqll,HyFaiGbCW,naive,e16f5680-f08b-43c2-a31e-9a24b664cfc6,60,Inverse Problems in Computer Vision using  Adversarial  Imagination Priors,Generalization of Learning using Reservoir Computing
H13F3Pqll,SyYYPdg0-,SPSM,6866ef74-4770-4f79-a25d-d9fc0bd7ec06,160,Inverse Problems in Computer Vision using  Adversarial  Imagination Priors,Counterfactual Image Networks
H13F3Pqll,SyYYPdg0-,KNN,520026e0-997f-4ae9-a98d-dc300f0769a7,113,Inverse Problems in Computer Vision using  Adversarial  Imagination Priors,Counterfactual Image Networks
HJrDIpiee,rkHVZWZAZ,KNN,13e711bf-3af4-49e5-a3a7-249e3334073a,90,Investigating Recurrence and Eligibility Traces in Deep Q-Networks,The Reactor: A fast and sample-efficient Actor-Critic agent for  Reinforcement Learning
HJrDIpiee,BJ0hF1Z0b,SPSM,509682b8-38b4-4b27-ba01-4accbb0e33c1,160,Investigating Recurrence and Eligibility Traces in Deep Q-Networks,Learning Differentially Private Recurrent Language Models
HJrDIpiee,SkA-IE06W,naive,3d0701f1-eaba-444f-a40e-284aaff69101,60,Investigating Recurrence and Eligibility Traces in Deep Q-Networks,When is a Convolutional Filter Easy to Learn?
Hk8rlUqge,HkbmWqxCZ,KNN,f64e7f88-754c-48aa-a9da-7c26b53e968e,66,Joint Multimodal Learning with Deep Generative Models,The Mutual Autoencoder: Controlling Information in Latent Code Representations
Hk8rlUqge,BJB7fkWR-,naive,1cb37bc2-b7ae-471a-a648-f96db0836848,60,Joint Multimodal Learning with Deep Generative Models,Domain Adaptation for Deep Reinforcement Learning in Visually Distinct Games
Hk8rlUqge,H1xJjlbAZ,SPSM,19d83c57-1218-4324-b4a6-d2b203276ca7,160,Joint Multimodal Learning with Deep Generative Models,INTERPRETATION OF NEURAL NETWORK IS FRAGILE
